study,value,repeat,estimator,n_samples,n_original_features,n_numerical_features,n_categorical_features,n_transformed_features,n_candidates,fit_time,fit_wall_time,status
samples,32768,3,RFR,32768,70,60,10,100,10000,12.274996900000133,12.274996900000133,ok
samples,32768,3,GPR,32768,70,60,10,100,,5.9451985000000604,6.728742600000032,ok
samples,32768,3,FIGS,32768,70,60,10,100,,21.224680000000035,21.224680000000035,ok
samples,32768,3,RuleFit,32768,70,60,10,100,,33.67730759999995,33.67730759999995,ok
samples,32768,3,HSTree,32768,70,60,10,100,,1.3210801000000174,1.3210801000000174,ok
samples,32768,3,GreedyRuleList,32768,70,60,10,100,,0.5661168999999973,0.5661168999999973,ok
samples,32768,4,RFR,32768,70,60,10,100,10000,12.623700899999903,12.623700899999903,ok
samples,32768,4,GPR,32768,70,60,10,100,,6.012672299999849,6.722981300000129,ok
samples,32768,4,FIGS,32768,70,60,10,100,,21.221114700000044,21.221114700000044,ok
samples,32768,4,RuleFit,32768,70,60,10,100,,31.08471439999994,31.08471439999994,ok
samples,32768,4,HSTree,32768,70,60,10,100,,1.3460957000002054,1.3460957000002054,ok
samples,32768,4,GreedyRuleList,32768,70,60,10,100,,0.5665724000000409,0.5665724000000409,ok
samples,65536,0,RFR,65536,70,60,10,100,10000,25.307300799999894,25.307300799999894,ok
samples,65536,0,GPR,65536,70,60,10,100,,13.185297399999854,14.070403299999953,ok
samples,65536,0,FIGS,65536,70,60,10,100,,46.45546339999987,46.45546339999987,ok
samples,65536,0,RuleFit,65536,70,60,10,100,,58.759293699999944,58.759293699999944,ok
samples,65536,0,HSTree,65536,70,60,10,100,,2.80179360000011,2.80179360000011,ok
samples,65536,0,GreedyRuleList,65536,70,60,10,100,,1.2484617000000071,1.2484617000000071,ok
samples,65536,1,RFR,65536,70,60,10,100,10000,25.185053900000185,25.185053900000185,ok
samples,65536,1,GPR,65536,70,60,10,100,,12.81753649999996,13.704808100000037,ok
samples,65536,1,FIGS,65536,70,60,10,100,,46.58403550000003,46.58403550000003,ok
samples,65536,1,RuleFit,65536,70,60,10,100,,46.41727999999989,46.41727999999989,ok
samples,65536,1,HSTree,65536,70,60,10,100,,2.8009133000000475,2.8009133000000475,ok
samples,65536,1,GreedyRuleList,65536,70,60,10,100,,1.254787800000031,1.254787800000031,ok
samples,65536,2,RFR,65536,70,60,10,100,10000,25.29901699999982,25.29901699999982,ok
samples,65536,2,GPR,65536,70,60,10,100,,12.837836500000321,13.673108400000274,ok
samples,65536,2,FIGS,65536,70,60,10,100,,45.51721170000019,45.51721170000019,ok
samples,65536,2,RuleFit,65536,70,60,10,100,,49.53009949999978,49.53009949999978,ok
samples,65536,2,HSTree,65536,70,60,10,100,,2.7903869000001578,2.7903869000001578,ok
samples,65536,2,GreedyRuleList,65536,70,60,10,100,,1.2138846000002559,1.2138846000002559,ok
